Card,Tipo,Cidade,Bairro,Dormitorios,Suites,Banheiros,Vagas,Area_construida,Valor
https://www.lindalvoimoveis.com.br/imovel/sobrado-bem-localizado-na-rua-moron-nao-aceita-financiamento/SO0171-LINL?from=sale,Sobrado,Rio Grande,Centro,3,2,2,2,240.0,250000.0
https://www.lindalvoimoveis.com.br/imovel/apartamento-com-2-dormitorios-a-venda-110-m-cassino-rio-grande-rs/AP0433-LINL?from=sale,Apartamento,Rio Grande,Cassino,2,1,1,1,100.0,605000.0
https://www.lindalvoimoveis.com.br/imovel/sobrado-a-venda-230-m-por-850000-cassino-rio-grande-rs/SO0193-LINL?from=sale,Sobrado,Rio Grande,Cassino,4,1,2,4,230.0,850000.0
https://www.lindalvoimoveis.com.br/imovel/apartamento-de-alto-padrao-no-canalete/AP0503-LINL?from=sale,Apartamento,Rio Grande,Centro,3,1,1,1,100.0,550000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-125-m-na-rua-francisco-marques-centro-rio-grande-rs-a-venda-por-250000/CA0551-LINL?from=sale,Casa,Rio Grande,Centro,2,1,2,1,125.0,250000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-350-m-na-alameda-caxias-do-sul-cassino-rio-grande-rs-a-venda-por-1500000/CA0643-LINL?from=sale,Casa,Rio Grande,Cassino,2,2,3,4,350.0,1500000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-377-m-na-rua-andrade-neves-centro-rio-grande-rs-a-venda-por-1600000/CA0952-LINL?from=sale,Casa,Rio Grande,Centro,4,1,1,5,377.0,1600000.0
https://www.lindalvoimoveis.com.br/imovel/sobrado-de-270-m-na-rua-general-portinho-centro-rio-grande-rs-a-venda-por-900000/SO0164-LINL?from=sale,Sobrado,Rio Grande,Centro,4,1,2,5,270.0,900000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-200-m-na-rua-paulo-leiria-parque-residencial-salgado-filho-rio-grande-rs-a-venda-por-500000/CA0347-LINL?from=sale,Casa,Rio Grande,Parque Residencial Salgado Filho,3,1,1,2,200.0,500000.0
https://www.lindalvoimoveis.com.br/imovel/sobrado-de-190-m-na-rua-gaspar-de-lemos-parque-residencial-coelho-rio-grande-rs-a-venda-por-420000/SO0083-LINL?from=sale,Sobrado,Rio Grande,Parque Residencial Coelho,4,1,1,6,190.0,420000.0
https://www.lindalvoimoveis.com.br/imovel/apartamento-com-3-dormitorios-a-venda-98-m-por-850000-cassino-rio-grande-rs/AP0664-LINL?from=sale,Apartamento,Rio Grande,Cassino,3,1,1,1,98.0,850000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-160-m-na-rua-antonio-da-fonseca-moraes-cassino-rio-grande-rs-a-venda-por-430000/CA0048-LINL?from=sale,Casa,Rio Grande,Cassino,2,1,3,3,160.0,430000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-85-m-na-rua-professor-fernando-eduardo-freire-cassino-rio-grande-rs-a-venda-por-360000/CA0029-LINL?from=sale,Casa,Rio Grande,Cassino,3,1,3,8,85.0,360000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-350-m-na-travessa-joao-touguinha-centro-rio-grande-rs-a-venda-por-1500000/CA0359-LINL?from=sale,Casa,Rio Grande,Centro,3,1,3,2,350.0,1500000.0
https://www.lindalvoimoveis.com.br/imovel/apartamento-de-120-m-na-rua-visconde-do-rio-branco-cidade-nova-rio-grande-rs-a-venda-por-420000/AP0319-LINL?from=sale,Apartamento,Rio Grande,Cidade Nova,2,1,1,1,120.0,420000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-485-m-na-rua-doutor-cyrio-carlos-campani-cassino-rio-grande-rs-a-venda-por-1400000/CA0087-LINL?from=sale,Casa,Rio Grande,Cassino,13,2,10,3,485.0,1400000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-74-m-na-avenida-nova-atlantica-cassino-rio-grande-rs-a-venda-por-286200/CA0113-LINL?from=sale,Casa,Rio Grande,Cassino,2,1,2,3,74.0,286200.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-164-m-na-rua-radialista-dolar-tanus-cassino-rio-grande-rs-a-venda-por-1300000/CA0702-LINL?from=sale,Casa,Rio Grande,Cassino,3,1,3,7,164.0,1300000.0
https://www.lindalvoimoveis.com.br/imovel/casa-com-2-dormitorios-a-venda-114-m-por-340000-cassino-rio-grande-rs/CA0537-LINL?from=sale,Casa,Rio Grande,Cassino,2,1,1,3,114.0,340000.0
https://www.lindalvoimoveis.com.br/imovel/casa-com-3-dormitorios-a-venda-230-m-por-1200000-cassino-rio-grande-rs/CA0845-LINL?from=sale,Casa,Rio Grande,Cassino,3,1,1,4,230.0,1200000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-220-m-na-rua-fermino-amaral-senandes-rio-grande-rs-a-venda-por-180000/CA0369-LINL?from=sale,Casa,Rio Grande,Senandes,2,1,2,3,220.0,180000.0
https://www.lindalvoimoveis.com.br/imovel/sobrado-a-venda-160-m-por-366000-cassino-rio-grande-rs/SO0200-LINL?from=sale,Sobrado,Rio Grande,Cassino,2,1,1,2,160.0,366000.0
https://www.lindalvoimoveis.com.br/imovel/sobrado-de-64-m-na-rodovia-br-471-quinta-rio-grande-rs-a-venda-por-350000/SO0004-LINL?from=sale,Sobrado,Rio Grande,Quinta,2,1,2,1,64.0,350000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-150-m-na-rua-a-bolaxa-rio-grande-rs-a-venda-por-230000/CA0236-LINL?from=sale,Casa,Rio Grande,Bolaxa,3,1,1,4,150.0,230000.0
https://www.lindalvoimoveis.com.br/imovel/sobrado-de-84-m-na-rua-soedy-wildt-dos-santos-cassino-rio-grande-rs-a-venda-por-300000/SO0041-LINL?from=sale,Sobrado,Rio Grande,Cassino,2,1,2,7,84.0,300000.0
https://www.lindalvoimoveis.com.br/imovel/casa-alto-padrao-na-praia-do-cassino/SO0206-LINL?from=sale,Sobrado,Rio Grande,Cassino,4,1,2,5,292.0,1280000.0
https://www.lindalvoimoveis.com.br/imovel/casa-com-3-dormitorios-a-venda-230-m-por-450000-parque-guanabara-rio-grande-rs/CA0565-LINL?from=sale,Casa,Rio Grande,Parque Guanabara,3,1,3,5,230.0,450000.0
https://www.lindalvoimoveis.com.br/imovel/casa-com-4-dormitorios-a-venda-patio-garagem-para-6-carros-e-muito-mais-ver-a-descricao/CA0988-LINL?from=sale,Casa,Rio Grande,Parque Residencial Salgado Filho,4,2,1,6,305.0,900000.0
https://www.lindalvoimoveis.com.br/imovel/sobrado-de-175-m-na-rua-herval-do-sul-cassino-rio-grande-rs-a-venda-por-650000/SO0024-LINL?from=sale,Sobrado,Rio Grande,Cassino,3,1,2,2,175.0,650000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-150-m-na-rua-saul-porto-getulio-vargas-rio-grande-rs-a-venda-por-170000/CA0514-LINL?from=sale,Casa,Rio Grande,Getúlio Vargas,3,1,2,1,150.0,170000.0
https://www.lindalvoimoveis.com.br/imovel/apartamento-de-150-m-na-rua-dom-bosco-cidade-nova-rio-grande-rs-a-venda-por-490000/AP0171-LINL?from=sale,Apartamento,Rio Grande,Cidade Nova,3,1,1,1,150.0,490000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-202-m-na-rua-joao-manoel-paranhos-bolaxa-rio-grande-rs-a-venda-por-500000/CA0641-LINL?from=sale,Casa,Rio Grande,Bolaxa,2,1,2,3,202.0,500000.0
https://www.lindalvoimoveis.com.br/imovel/sobrado-de-160-m-na-avenida-luiz-leivas-otero-cassino-rio-grande-rs-a-venda-por-230000/SO0176-LINL?from=sale,Sobrado,Rio Grande,Cassino,4,1,1,2,160.0,230000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-110-m-na-rua-ferroviario-antonio-de-souza-netto-cassino-rio-grande-rs-a-venda-por-295000/CA0146-LINL?from=sale,Casa,Rio Grande,Cassino,4,1,2,4,110.0,295000.0
https://www.lindalvoimoveis.com.br/imovel/casa-com-4-dormitorios-a-venda-162-m-por-420000-cassino-rio-grande-rs/CA0978-LINL?from=sale,Casa,Rio Grande,Cassino,4,1,1,4,162.0,420000.0
https://www.lindalvoimoveis.com.br/imovel/sobrado-de-150-m-na-avenida-brasil-cassino-rio-grande-rs-a-venda-por-350000/SO0095-LINL?from=sale,Sobrado,Rio Grande,Cassino,4,1,3,3,150.0,350000.0
https://www.lindalvoimoveis.com.br/imovel/casa-com-3-dormitorios-a-venda-130-m-por-500000-cassino-rio-grande-rs/CA0685-LINL?from=sale,Casa,Rio Grande,Cassino,3,1,2,2,130.0,500000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-180-m-na-rua-panambi-cassino-rio-grande-rs-a-venda-por-350000/CA0709-LINL?from=sale,Casa,Rio Grande,Cassino,2,2,4,4,180.0,350000.0
https://www.lindalvoimoveis.com.br/imovel/sobrado-de-250-m-na-rua-santa-vitoria-cassino-rio-grande-rs-a-venda-por-1000000/SO0133-LINL?from=sale,Sobrado,Rio Grande,Cassino,6,1,2,3,250.0,1000000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-235-m-na-rua-santa-maria-cassino-rio-grande-rs-a-venda-por-945000/CA0602-LINL?from=sale,Casa,Rio Grande,Cassino,3,1,3,4,235.0,945000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-200-m-na-rua-paulino-modernell-cassino-rio-grande-rs-a-venda-por-424000/CA0229-LINL?from=sale,Casa,Rio Grande,Cassino,3,1,2,6,200.0,424000.0
https://www.lindalvoimoveis.com.br/imovel/belissima-casa-cidade-nova/CA0769-LINL?from=sale,Casa,Rio Grande,Cidade Nova,3,3,4,5,400.0,820000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-250-m-na-rua-luiz-germano-cassino-rio-grande-rs-a-venda-por-550000/CA0668-LINL?from=sale,Casa,Rio Grande,Cassino,4,1,3,3,250.0,550000.0
